2006-01,4.7
2006-02,4.8
2006-03,4.7
2006-04,4.7
2006-05,4.6
2006-06,4.6
2006-07,4.7
2006-08,4.7
2006-09,4.5
2006-10,4.4
2006-11,4.5
2006-12,4.4
2007-01,4.6
2007-02,4.5
2007-03,4.4
2007-04,4.5
2007-05,4.4
2007-06,4.6
2007-07,4.7
2007-08,4.6
2007-09,4.7
2007-10,4.7
2007-11,4.7
2007-12,5.0
2008-01,5.0
2008-02,4.9
2008-03,5.1
2008-04,5.0
2008-05,5.4
2008-06,5.6
2008-07,5.8
2008-08,6.1
2008-09,6.1
2008-10,6.5
2008-11,6.8
2008-12,7.3
2009-01,5.0
2009-02,4.9
2009-03,5.1
2009-04,5.0
2009-05,5.4
2009-06,5.6
2009-07,5.8
2009-08,6.1
2009-09,6.1
2009-10,6.5
2009-11,6.8
2009-12,7.3
2010-01,9.8
2010-02,9.8
2010-03,9.9
2010-04,9.9
2010-05,9.6
2010-06,9.4
2010-07,9.4
2010-08,9.5
2010-09,9.5
2010-10,9.4
2010-11,9.8
2010-12,9.3
2011-01,9.1
2011-02,9.0
2011-03,9.0
2011-04,9.1
2011-05,9.0
2011-06,9.1
2011-07,9.0
2011-08,9.0
2011-09,9.0
2011-10,8.8
2011-11,8.6
2011-12,8.5
2012-01,8.3
2012-02,8.3
2012-03,8.2
2012-04,8.2
2012-05,8.2
2012-06,8.2
2012-07,8.2
2012-08,8.1
2012-09,7.8
2012-10,7.8
2012-11,7.7
2012-12,7.9
2013-01,8.0
2013-02,7.7
2013-03,7.5
2013-04,7.6
2013-05,7.5
2013-06,7.5
2013-07,7.3
2013-08,7.3
2013-09,7.3
2013-10,7.2
2013-11,6.9
2013-12,6.7
2014-01,8.0
2014-02,7.7
2014-03,7.5
2014-04,7.6
2014-05,7.5
2014-06,7.5
2014-07,7.3
2014-08,7.3
2014-09,7.3
2014-10,7.2
2014-11,6.9
2014-12,6.7
2015-01,5.7
2015-02,5.5
2015-03,5.5
2015-04,5.4
2015-05,5.5
2015-06,5.3
2015-07,5.3
2015-08,5.1
2015-09,5.1
2015-10,5.0
2015-11,5.0
2015-12,5.0
2016-01,4.9
2016-02,4.9
2016-03,5.0
2016-04,5.0
2016-05,4.7
2016-06,4.9
2016-07,4.9
2016-08,4.9
2016-09,5.0
2016-10,4.9
2016-11,
2016-12,
